,id,capnum,datacaptura,idecadastro,numlegislatura,nomeparlamentar,sexo,profissao,legendapartidoeleito,ufeleito,condicao,situacaomandato,matricula,gabinete,anexo,fone
0,2211,2,2015-11-02 13:14:39,141542,55,SÉRGIO MORAES,M,COMERCIANTE,PTB,RS,Titular,Em Exercício,512,258,4,3215-5258
1,2215,2,2015-11-02 13:14:39,178874,55,SERGIO VIDIGAL,M,,PDT,ES,Titular,Em Exercício,283,812,4,3215-5812
2,324,2,2015-11-02 13:14:39,160538,54,BOHN GASS,M,"Agricultor Familiar, Professor de História",PT,RS,Titular,Em Exercício,499,0,0,
3,1216,2,2015-11-02 13:14:39,160396,53,JOSÉ HUMBERTO,M,"Comerciante, Consultor, Engenheiro Mecânico",PPS,MG,Suplente,Em Exercício,633,0,0,
4,343,2,2015-11-02 13:14:39,168034,54,CABO JULIANO RABELO,M,,PDT,MT,Suplente,Suplência,584,0,0,
5,524,2,2015-11-02 13:14:39,160528,55,DANILO CABRAL,M,Advogado,PSB,PE,Titular,Licenciado,148,0,0,
6,1010,2,2015-11-02 13:14:39,74162,52,IRINY LOPES,F,OUTROS,PT,ES,Titular,Em Exercício,273,0,0,
7,823,2,2015-11-02 13:14:39,160598,54,FLÁVIA MORAIS,F,Professora de Educação Física,PDT,GO,Titular,Em Exercício,422,0,0,
8,2468,2,2015-11-02 13:14:39,74354,53,ZENALDO COUTINHO,M,Advogado,PSDB,PA,Titular,Em Exercício,34,0,0,
9,1128,2,2015-11-02 13:14:39,73873,53,JOÃO MATOS,M,Professor e Administrador de Empresas,PMDB,SC,Titular,Em Exercício,473,0,0,
10,1281,2,2015-11-02 13:14:39,74317,53,JÚLIO CESAR,M,"PROFESSOR, ADVOGADO E PRODUTOR RURAL",PFL,PI,Titular,Em Exercício,114,0,0,
11,1587,2,2015-11-02 13:14:39,74255,52,MARIA LUCIA,F,EMPRESARIA,PMDB,RJ,Titular,Vacância,315,0,0,
12,1107,2,2015-11-02 13:14:39,178970,55,JOÃO DANIEL,M,Agricultor,PT,SE,Titular,Em Exercício,179,605,4,3215-5605
13,2051,2,2015-11-02 13:14:39,152610,53,ROBERTO ALVES,M,,PTB,SP,Efetivado,Em Exercício,568,0,0,
14,144,2,2015-11-02 13:14:39,141379,54,ANDREIA ZITO,F,Bacharel em Direito,PSDB,RJ,Titular,Em Exercício,283,0,0,
15,1612,2,2015-11-02 13:14:39,121759,54,MARLLOS SAMPAIO,M,Delegado de Polícia,PMDB,PI,Titular,Em Exercício,117,0,0,
