Proposições,Classe,Apreciação,Regime de Tramitação,Natureza,Ementa,Explicação ,Autor,UF,Partido,Apresentação,Ano,,Situação,Link 
PL 7122/2017,Aborto,Plenário,"Prioridade (151, II, RICD)",A favor,Dispõe sobre a concessão de licença e de salário-maternidade nos casos de aborto não criminoso e de nascimento de bebê natimorto.,"Altera o Decreto-Lei nº 5.452, de 1943 e a Lei nº 8.213, de 1991.",Luciano Ducci,PR,PSB,3/15/2017,2017,Apensada,Aguardando Criação de Comissão Temporária pela MESA,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2125614
PDC 1487/2014,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Susta a eficácia da Portaria nº 415, de 21 de maio de 2014 do Secretário de Atenção à Saúde do Ministério da Saúde, que inclui o procedimento interrupção da gestação/ antecipação terapêutica do parto previstas em lei e todos os seus atributos na Tabela de Procedimentos, Medicamentos, Órteses e Materiais Especiais do SUS.",,Eduardo Cunha,RJ,PMDB,5/27/2014,2014,Raiz,Pronta para Pauta,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=617025
PDC 1490/2014,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Susta a Portaria 415, de 21 de maio de 2014, ""que inclui o procedimento interrupção da gestação/antecipação terapêutica do parto previstas em lei e todos os seus atributos na Tabela de Procedimentos, Medicamentos, Órteses/Próteses e Materiais Especiais do SUS, por exorbitar o exercício do poder regulamentar, nos termos do art. 49, V, da Constituição Federal""",,Andre Moura,SE,PSC,5/28/2014,2014,Raiz,Tramitando em Conjunto,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=617448
PDC 1757/2005,Aborto,Plenário,"Ordinária (151, III, RICD)",Indefinido,Dispõe sobre convocação de plebiscito relativo à interrupção da gravidez até à décima segunda semana de gravidez.,,Osmânio Pereira,MG,PTB,6/15/2005,2005,Raiz,Devolvida ao Autor,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=290179
PDC 1832/2005,Aborto,Plenário,"Ordinária (151, III, RICD)",Indefinido,Dispõe sobre convocação de plebiscito relativo à interrupção da gravidez até à décima segunda semana de gestação.,,Osmânio Pereira,MG,S. PART.,8/17/2005,2005,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=297261
PDC 2840/2010,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Susta os efeitos gerados pelo ato do Poder Executivo na participação da elaboração do Documento ""Consenso de Brasília"", originado por Conferência organizada por Órgão da Organização das Nações Unidas em conjunto com a Secretaria de Política para as Mulheres do Brasil.",Apoio do Governo Brasileiro à irrestrita prática do aborto.,Paes de Lira,SP,PTC,8/4/2010,2010,,Devolvida ao Autor,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=484558
PDC 42/2007,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,Susta a aplicação de Norma Técnica expedida pelo Ministério da Saúde .,Norma Técnica do Aborto - Prevenção e tratamento dos agravos resultantes da violência social contra mulheres e adolescentes (vítima de estupro).,Henrique Afonso,AC,PT,5/11/2007,2007,,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=351366
PDC 467/2000,Aborto,Plenário,"Ordinária (151, III, RICD)",Indefinido,"Estabelece consulta plebiscitária sobre o aborto, união civil e prisão perpétua por ocasião de eleições gerais.",,Inocêncio Oliveira,PE,PFL,5/16/2000,2000,,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=13834
PDC 565/2012,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Susta a aplicação da decisão do Supremo Tribunal Federal proferida na Arguição de Descumprimento de Preceito Fundamental nº 54, que declara não ser crime a ""antecipação terapêutica de parto"" de anencéfalos.",,Pastor Marco Feliciano,SP,PSC,5/9/2012,2012,,Aguardando Deliberação do Recurso na Mesa Diretora da Câmara dos Deputados (MESA),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=544070
PDC 566/2012,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Susta a aplicação da decisão do Supremo Tribunal Federal proferida na Arguição de Descumprimento de Preceito Fundamental- ADPF 54, com a finalidade de lograr interpretação conforme a Constituição da disciplina legal dada ao aborto pela legislação penal infraconstitucional, para explicitar que ela não se aplica aos casos de antecipação terapêutica do parto na hipótese de fetos portadores de anencefalia, devidamente certificada por médico habilitado, anulando-se todos os atos dela decorrentes.",,Roberto de Lucena;João Campos;Salvador Zimbaldi,SP;GO;SP,PV ;PSDB ;PDT,5/10/2012,2012,,Aguardando Deliberação do Recurso na Mesa Diretora da Câmara dos Deputados (MESA),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=544270
